model,scoring_function,features,score,n_features
RandomForestClassifier(),precision_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.6332665330661322,48
RandomForestClassifier(),accuracy_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.634,48
SVC(C=0.8),precision_calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",699.0979381443299,48
SVC(C=0.8),calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",1250.0,48
SVC(C=0.8),precision_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.5592783505154639,48
SVC(C=0.8),accuracy_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.547,48
RandomForestClassifier(),precision_calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",3942.0523138832996,48
RandomForestClassifier(),calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",6200.0,48
RandomForestClassifier(),precision_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.635814889336016,48
RandomForestClassifier(),accuracy_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.636,48
SVC(C=0.8),precision_calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",552.0833333333334,48
SVC(C=0.8),calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",1000.0,48
SVC(C=0.8),precision_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.5520833333333334,48
SVC(C=0.8),accuracy_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.541,48
RandomForestClassifier(),precision_calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",5106.25,48
